Subscription,ResourceGroup,ResourceType,Category,Count
MySub,RG1,microsoft.insights/components,Non-Compute,1
MySub,RG1,Microsoft.OperationalInsights/workspaces,Non-Compute,1
MySub,RG1,Microsoft.Web/sites,PaaS,1
MySub,RG2,Microsoft.Storage/storageAccounts,Non-Compute,2
MySub,RG2,Microsoft.Storage/storageAccounts,Non-Compute,3
MySub,RG2,Microsoft.Storage/storageAccounts,Non-Compute,3
MySub,RG3,Microsoft.OperationalInsights/workspaces,Non-Compute,1
MySub,RG3,Microsoft.OperationalInsights/workspaces,Non-Compute,1
MySub,RG3,Microsoft.OperationalInsights/workspaces,Non-Compute,1
MySub,RG3,Microsoft.OperationalInsights/workspaces,Non-Compute,1
MySub,RG4,Microsoft.Network/virtualNetworks,Non-Compute,1
MySub,RG5,Microsoft.Devices/IotHubs,Non-Compute,1
MySub,RG5,microsoft.insights/components,Non-Compute,2
MySub,RG5,Microsoft.Network/virtualNetworks,Non-Compute,1
MySub,RG5,Microsoft.ServiceBus/namespaces,Non-Compute,1
MySub,RG5,Microsoft.Web/serverFarms,PaaS,4
MySub,RG5,Microsoft.Web/sites,PaaS,6
MySub,RG6,Microsoft.Network/natGateways,Non-Compute,1
MySub,RG6,Microsoft.Network/publicIPAddresses,Non-Compute,1
MySub,RG6,Microsoft.Network/virtualNetworks,Non-Compute,1
MySub,RG6,Microsoft.Storage/storageAccounts,Non-Compute,1
MySub,RG7,Microsoft.Network/virtualNetworks,Non-Compute,1
MySub,RG8,Microsoft.EventHub/namespaces,Non-Compute,1
MySub,RG8,Microsoft.Storage/storageAccounts,Non-Compute,1
MySub,RG8,Microsoft.Web/serverFarms,PaaS,1
MySub,RG8,Microsoft.Web/sites,PaaS,1
MySub,RG9,Microsoft.EventHub/namespaces,Non-Compute,1
MySub,RG9,Microsoft.Storage/storageAccounts,Non-Compute,1
MySub,RG9,Microsoft.Web/serverFarms,PaaS,1
MySub,RG9,Microsoft.Web/sites,PaaS,1
MySub,RG10,Microsoft.EventHub/namespaces,Non-Compute,1
MySub,RG10,Microsoft.Storage/storageAccounts,Non-Compute,1
MySub,RG10,Microsoft.Web/serverFarms,PaaS,1
MySub,RG10,Microsoft.Web/sites,PaaS,1
MySub,RG11,Microsoft.EventHub/namespaces,Non-Compute,1
MySub,RG11,Microsoft.Storage/storageAccounts,Non-Compute,1
MySub,RG11,Microsoft.Web/serverFarms,PaaS,1
MySub,RG11,Microsoft.Web/sites,PaaS,1
MySub,RG11,Microsoft.EventHub/namespaces,Non-Compute,1
MySub,RG11,microsoft.insights/components,Non-Compute,2
MySub,RG11,Microsoft.Storage/storageAccounts,Non-Compute,2
MySub,RG11,Microsoft.Web/serverFarms,PaaS,2
MySub,RG11,Microsoft.Web/sites,PaaS,3
MySub,RG11,Microsoft.EventHub/namespaces,Non-Compute,1
MySub,RG11,Microsoft.Storage/storageAccounts,Non-Compute,1
MySub,RG11,Microsoft.Web/serverFarms,PaaS,1
MySub,RG11,Microsoft.Web/sites,PaaS,1
MySub,RG12,Microsoft.Compute/disks,Non-Compute,1
MySub,RG13,Microsoft.Compute/virtualMachines,IaaS,1
MySub,RG13,Microsoft.Network/networkInterfaces,Non-Compute,1
MySub,RG13,Microsoft.Network/publicIPAddresses,Non-Compute,1
MySub,RG13,Microsoft.Network/virtualNetworks,Non-Compute,1
MySub,RG13,Microsoft.Storage/storageAccounts,Non-Compute,1
